bm,bn,en,zh-CN,hi,es,fr
আপাবপার কথা হুনানি থক,মুরুব্বিদের কথা শোনা উচিত,The teachers should be listened to,应该听老师的话,शिक्षकों की बात सुनी जानी चाहिए,Hay que escuchar a los profesores,Les enseignants doivent être écoutés
হবা হবা ফুতি কুরাংত লইলেতা,ভাল ভাল কাপড় কোথায় থেকে কিনেছ,Where did you buy the good clothes?,好衣服哪里买的？,आपने अच्छे कपड़े कहाँ से खरीदे?,¿Dónde compraste la ropa buena?,Où as-tu acheté les bons vêtements ?
লামুইয়ে রুহিতারা,শিয়াল  ডাকছে,The fox is calling,狐狸在呼唤,लोमड़ी बुला रही है,el zorro esta llamando,Le renard appelle
বাবা র সৌকরাহানে নাকর ল,খুব গরম লাগতেছে,It feels very hot,感觉很热,बहुत गर्मी लगती है,se siente muy caliente,Il fait très chaud
চান্দুয়া গ কি চুনাহান হে,চাঁদ দেখতে কি সুন্দর,How beautiful the moon looks,月亮看起来多么美丽,चांद कितना खूबसूरत लग रहा है,Que hermosa se ve la luna,Comme la lune est belle
মানুঅতা কিয়া লেহাউশপাৎ লাল্লাম ইতারাতা,মানুষেরা কেন চাঁপাগাছে ঝুলে থাকে,Why do people hang from trees?,人为什么要挂在树上？,लोग पेड़ों से क्यों लटकते हैं?,¿Por qué la gente se cuelga de los árboles?,Pourquoi les gens se pendent-ils aux arbres ?
লাংতিয়ার অসারে আখিগি,শকুনের মতো চোখ,Eyes like a vulture,眼睛像秃鹫,गिद्ध जैसी आँखें,Ojos como un buitre,Des yeux comme un vautour
বিসিরাহাত্ব হওপাত খানি আংগা,সবজি বাগান থেকে কিছু সবজি নিয়ে এসো,Bring some vegetables from the vegetable garden,从菜园里带来一些蔬菜,सब्जी के बगीचे से कुछ सब्जियाँ ले आओ,Trae algunas verduras del huerto.,Apportez quelques légumes du potager
খাঞ্জাগত মাছ নেয়োসি,ডোবাতে মাছ নাই,There is no fish in the sink,水槽里没有鱼,सिंक में कोई मछली नहीं है,No hay peces en el fregadero,Il n'y a pas de poisson dans l'évier
তরে না দেখিসুতা নঙশাঙ ইল,তোমাকে দেখি দীর্ঘদিন হল,It's been a long time since I saw you,自从我见到你已经很久了,बहुत दिन हो गए तुम्हें देखे हुए,Ha pasado mucho tiempo desde que te vi,Cela fait longtemps que je ne t'ai pas vu
চে আহাননো কুইকরিয়া বাদ,একটি কাগজ দিয়ে পেঁচিয়ে বাঁধো,Wrap with a paper,用纸包起来,एक कागज से लपेटें,Envolver con un papel,Envelopper avec un papier
হউহান নুন খানি চামুইসে,তরকারিটায় লবণের একটু ঘাটতি আছে,There is a little lack of salt in the curry,咖喱有点少盐,सब्जी में नमक की थोड़ी कमी है,Le falta un poco de sal al curry.,Il manque un peu de sel dans le curry
বেনীগ বুরিল,সূর্যটা ডুবেছে,The sun has set,太阳已经落山了,सूर्य देव सो गए,El sol se ha puesto,Le soleil s'est couché
আমারতা লেমতল আগো আসে,আমাদের একটি হারিকেন আছে,We have a hurricane,我们有飓风,हमारे पास एक तूफान है,tenemos un huracan,Nous avons un ouragan
উমেইহান আনিয়া বউদেতা,হাতপাখাটা এনে বাতাস করো তো,Bring the fan and air it,带上风扇吹一下,पंखा लाओ और हवा करो,Trae el ventilador y airealo.,Apportez le ventilateur et aérez-le
দিনে দিনে বাজারর জিনিস তাঙোযারগা,দিন দিন বাজারজাত দ্রব্য ব্যয়বহুল হয়ে যাচ্ছে,Marketed products are becoming expensive day by day,市场上的产品日益昂贵,बाजारू उत्पाद दिन-ब-दिन महंगे होते जा रहे हैं,Los productos comercializados se encarecen día a día,Les produits commercialisés deviennent de jour en jour chers
তাঙি তাঙখা আছি মানু,তারা টাকাওয়ালা লোক,They are money people,他们是有钱人,वे पैसे वाले लोग हैं,son gente de dinero,Ce sont des gens d'argent
মরে খানি বাসিসতা,আমার একটু অপেক্ষা করো তো,Wait for me,等我,मेरा इंतजार करना,Espérame,Attendez-moi
লেরিক তামকরিয়া না মাঙুইবো,বই পড়া বৃথা যাবে না,Reading books will not be wasted,读书不会浪费,किताबें पढ़ना व्यर्थ नहीं जाएगा,Leer libros no será en vano,La lecture de livres ne sera pas gaspillée
খেলাহান নমিল,খেলাটা শেষ হলো,The game is over,游戏结束了,खेल समाप्त हो गया है,el juego ha terminado,Le jeu est terminé
দিয়দি তিকনাতিকনি আহান ইসি,দুজনের মধ্যে একটা মনোমালিন্য চলছে,There is a conflict between the two,两者之间有冲突,दोनों के बीच द्वंद चल रहा है,Hay un conflicto entre los dos.,Il y a un conflit entre les deux
দশ বারো বছর আগে পরল্লেই গুলা আহান আহিসিল,দশ বারো বছর আগে এক প্রলয়ংকরী বন্যা এসেছিল,Ten or twelve years ago there was a disastrous flood,十、十二年前，有一场特大洪水,दस-बारह वर्ष पहले भयंकर बाढ़ आई थी,Hace diez o doce años hubo una inundación desastrosa,"Il y a dix ou douze ans, il y a eu une inondation désastreuse"
